# File: IO_detailed_industry.csv
# Title: Detailed industry coefficient
# Units: GJ/kg or GJ/GJ
# Description: Input-output data are calculated based on historical energy consumption sourced from the MEIC-HR emission inventory. The energy consumption data could not be used directly due to the inconsistency between IEA data(used in GCAM) and China's energy statistics, so the energy consumption share was used to allocate.
# Column types: cnccccnnn
# ----------
province,year,supplysector,subsector,technology,minicam.energy.input,coefficient,production,energy.input
HA,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
HB,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
HE,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
HI,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
HL,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
HN,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
JL,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
JS,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
JX,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
LN,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
NM,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
NX,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
QH,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
SC,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
SD,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
SH,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
SN,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
SX,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
TJ,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
XJ,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
XZ,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
YN,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
ZJ,1975,agricultural energy use,coal,coal,delivered coal,1,0,0
AH,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
BJ,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
CQ,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
FJ,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
GD,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
GS,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
GX,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
GZ,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
HA,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
HB,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
HE,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
HI,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
HL,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
HN,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
JL,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
JS,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
JX,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
LN,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
NM,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
NX,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
QH,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
SC,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
SD,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
SH,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
SN,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
SX,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
TJ,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
XJ,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
XZ,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
YN,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
ZJ,1990,agricultural energy use,coal,coal,delivered coal,1,0,0
AH,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
BJ,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
CQ,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
FJ,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
GD,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
GS,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
GX,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
GZ,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
HA,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
HB,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
HE,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
HI,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
HL,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
HN,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
JL,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
JS,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
JX,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
LN,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
NM,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
NX,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
QH,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
SC,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
SD,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
SH,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
SN,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
SX,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
TJ,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
XJ,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
XZ,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
YN,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
ZJ,2005,agricultural energy use,coal,coal,delivered coal,1,0,0
AH,2010,agricultural energy use,coal,coal,delivered coal,1,0.022434504,0.022434504
BJ,2010,agricultural energy use,coal,coal,delivered coal,1,0.000592429,0.000592429
CQ,2010,agricultural energy use,coal,coal,delivered coal,1,0.002605254,0.002605254
FJ,2010,agricultural energy use,coal,coal,delivered coal,1,0.00312242,0.00312242
GD,2010,agricultural energy use,coal,coal,delivered coal,1,0.006596219,0.006596219
GS,2010,agricultural energy use,coal,coal,delivered coal,1,0.00516319,0.00516319
GX,2010,agricultural energy use,coal,coal,delivered coal,1,0.012199762,0.012199762
GZ,2010,agricultural energy use,coal,coal,delivered coal,1,0.004307014,0.004307014
HA,2010,agricultural energy use,coal,coal,delivered coal,1,0.036808676,0.036808676
HB,2010,agricultural energy use,coal,coal,delivered coal,1,0.011359785,0.011359785
HE,2010,agricultural energy use,coal,coal,delivered coal,1,0.025846607,0.025846607
HI,2010,agricultural energy use,coal,coal,delivered coal,1,0.001342887,0.001342887
HL,2010,agricultural energy use,coal,coal,delivered coal,1,0.018719103,0.018719103
HN,2010,agricultural energy use,coal,coal,delivered coal,1,0.017278544,0.017278544
JL,2010,agricultural energy use,coal,coal,delivered coal,1,0.009721118,0.009721118
JS,2010,agricultural energy use,coal,coal,delivered coal,1,0.014256019,0.014256019
JX,2010,agricultural energy use,coal,coal,delivered coal,1,0.014207639,0.014207639
LN,2010,agricultural energy use,coal,coal,delivered coal,1,0.005603445,0.005603445
NM,2010,agricultural energy use,coal,coal,delivered coal,1,0.01212041,0.01212041
NX,2010,agricultural energy use,coal,coal,delivered coal,1,0.001846818,0.001846818
QH,2010,agricultural energy use,coal,coal,delivered coal,1,0.001406698,0.001406698
SC,2010,agricultural energy use,coal,coal,delivered coal,1,0.010206003,0.010206003
SD,2010,agricultural energy use,coal,coal,delivered coal,1,0.038138105,0.038138105
SH,2010,agricultural energy use,coal,coal,delivered coal,1,0.00019717,0.00019717
SN,2010,agricultural energy use,coal,coal,delivered coal,1,0.004840856,0.004840856
SX,2010,agricultural energy use,coal,coal,delivered coal,1,0.007173729,0.007173729
TJ,2010,agricultural energy use,coal,coal,delivered coal,1,0.001144526,0.001144526
XJ,2010,agricultural energy use,coal,coal,delivered coal,1,0.007714426,0.007714426
XZ,2010,agricultural energy use,coal,coal,delivered coal,1,0.001391812,0.001391812
YN,2010,agricultural energy use,coal,coal,delivered coal,1,0.00800288,0.00800288
ZJ,2010,agricultural energy use,coal,coal,delivered coal,1,0.006008537,0.006008537
AH,2015,agricultural energy use,coal,coal,delivered coal,1,0.023779855,0.023779855
BJ,2015,agricultural energy use,coal,coal,delivered coal,1,0.000469929,0.000469929
CQ,2015,agricultural energy use,coal,coal,delivered coal,1,0.002643842,0.002643842
FJ,2015,agricultural energy use,coal,coal,delivered coal,1,0.003306017,0.003306017
GD,2015,agricultural energy use,coal,coal,delivered coal,1,0.006588498,0.006588498
GS,2015,agricultural energy use,coal,coal,delivered coal,0.884992601,0.006099586,0.005398088
GX,2015,agricultural energy use,coal,coal,delivered coal,1,0.013763448,0.013763448
GZ,2015,agricultural energy use,coal,coal,delivered coal,1,0.005304083,0.005304083
HA,2015,agricultural energy use,coal,coal,delivered coal,0.831872266,0.038627416,0.032133076
HB,2015,agricultural energy use,coal,coal,delivered coal,1,0.01266354,0.01266354
HE,2015,agricultural energy use,coal,coal,delivered coal,0.838679159,0.026309191,0.02206497
HI,2015,agricultural energy use,coal,coal,delivered coal,1,0.000994041,0.000994041
HL,2015,agricultural energy use,coal,coal,delivered coal,1,0.022427587,0.022427587
HN,2015,agricultural energy use,coal,coal,delivered coal,1,0.018626691,0.018626691
JL,2015,agricultural energy use,coal,coal,delivered coal,1,0.011539512,0.011539512
JS,2015,agricultural energy use,coal,coal,delivered coal,0.792874304,0.01429702,0.01133574
JX,2015,agricultural energy use,coal,coal,delivered coal,1,0.016020837,0.016020837
LN,2015,agricultural energy use,coal,coal,delivered coal,1,0.006548702,0.006548702
NM,2015,agricultural energy use,coal,coal,delivered coal,0.698875388,0.01243699,0.008691906
NX,2015,agricultural energy use,coal,coal,delivered coal,0.794664191,0.001699371,0.001350429
QH,2015,agricultural energy use,coal,coal,delivered coal,1,0.001779834,0.001779834
SC,2015,agricultural energy use,coal,coal,delivered coal,1,0.011373299,0.011373299
SD,2015,agricultural energy use,coal,coal,delivered coal,1,0.039433285,0.039433285
SH,2015,agricultural energy use,coal,coal,delivered coal,0.829275107,0.000200116,0.000165951
SN,2015,agricultural energy use,coal,coal,delivered coal,0.853930451,0.005156562,0.004403345
SX,2015,agricultural energy use,coal,coal,delivered coal,1,0.008012435,0.008012435
TJ,2015,agricultural energy use,coal,coal,delivered coal,1,0.00109784,0.00109784
XJ,2015,agricultural energy use,coal,coal,delivered coal,1,0.008567269,0.008567269
XZ,2015,agricultural energy use,coal,coal,delivered coal,1,0.001558825,0.001558825
YN,2015,agricultural energy use,coal,coal,delivered coal,1,0.009657123,0.009657123
ZJ,2015,agricultural energy use,coal,coal,delivered coal,1,0.005797884,0.005797884
AH,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
BJ,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
CQ,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
FJ,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
GD,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
GS,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
GX,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
GZ,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
HA,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
HB,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
HE,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
HI,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
HL,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
HN,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
JL,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
JS,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
JX,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
LN,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
NM,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
NX,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
QH,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
SC,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
SD,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
SH,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
SN,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
SX,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
TJ,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
XJ,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
XZ,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
YN,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
ZJ,1975,agricultural energy use,district heat,district heat,district heat,1,0,0
AH,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
BJ,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
CQ,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
FJ,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
GD,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
GS,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
GX,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
GZ,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
HA,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
HB,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
HE,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
HI,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
HL,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
HN,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
JL,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
JS,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
JX,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
LN,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
NM,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
NX,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
QH,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
SC,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
SD,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
SH,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
SN,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
SX,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
TJ,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
XJ,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
XZ,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
YN,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
ZJ,1990,agricultural energy use,district heat,district heat,district heat,1,0,0
AH,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
BJ,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
CQ,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
FJ,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
GD,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
GS,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
GX,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
GZ,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
HA,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
HB,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
HE,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
HI,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
HL,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
HN,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
JL,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
JS,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
JX,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
LN,2005,agricultural energy use,district heat,district heat,district heat,1,0,0
